Message ID,Issuance Time (unix),Confirmation Time (ns),ParentID,# of Confirmed Messages,# of Issued Messages,ns since start
907,1685538543,7720993700,906,558,1474,19585203200
309,1685538535,14976906200,197,559,1474,19585346600
822,1685538542,8597305700,331,560,1474,19585369100
199,1685538534,16000724000,95,561,1474,19585936600
661,1685538540,10653998900,660,562,1474,19586141600
1144,1685538546,4577495600,1143,563,1475,19586405300
648,1685538539,10924406100,647,564,1475,19586790500
662,1685538540,10654779200,661,565,1475,19587072200
322,1685538535,14832738900,309,566,1475,19587226700
663,1685538540,10639004900,662,567,1475,19587358500
594,1685538539,11678707800,369,568,1475,19588113100
308,1685538535,15018872800,198,569,1475,19588709700
293,1685538535,15257819300,121,570,1475,19588814600
262,1685538535,15417634000,152,571,1475,19589328500
630,1685538539,11262099300,509,572,1475,19589531900
890,1685538542,7855997200,861,573,1475,19589814100
388,1685538537,13739457900,387,574,1476,19590340900
830,1685538542,8514207000,388,575,1476,19594595300
408,1685538537,13570979600,407,576,1476,19594820900
840,1685538542,8405498800,606,577,1476,19594964300
978,1685538543,6936438200,903,578,1476,19595263000
954,1685538543,7417475400,648,579,1476,19595563400
826,1685538542,8586006300,822,580,1476,19597241600
841,1685538542,8422621100,840,581,1477,19612710700
936,1685538543,7623052400,935,582,1477,19612871900
847,1685538542,8421012300,846,583,1477,19613030300
966,1685538543,7191261300,847,584,1477,19613178300
967,1685538543,7182221800,966,585,1477,19613323100
258,1685538535,15469626900,255,586,1477,19613621000
560,1685538538,12267805800,367,587,1477,19613770100
