Message ID,Issuance Time (unix),Confirmation Time (ns),Weight,# of Confirmed Messages,# of Issued Messages,ns since start
45,1685360095,1550536000,167,540,164,2537059300
44,1685360095,1550661500,187,541,164,2537065000
33,1685360094,1706370700,211,542,164,2537069200
32,1685360094,1706471000,234,543,164,2537073200
31,1685360094,1706599500,258,544,164,2537076900
24,1685360094,1849536400,283,545,164,2537079000
17,1685360094,1982681000,343,546,164,2537080700
9,1685360094,2109072100,403,547,164,2537082800
7,1685360094,2151221900,446,548,164,2537085100
5,1685360094,2184053000,490,549,164,2537089100
2,1685360094,2322976100,579,550,164,2537096300
1,1685360094,2350251200,635,551,164,2537101100
160,1685360096,30183900,14,552,165,2537263900
159,1685360096,30450100,20,553,165,2537266800
157,1685360096,70878500,27,554,165,2537271000
156,1685360096,94195700,35,555,165,2537275900
94,1685360095,953978200,47,556,165,2537336200
93,1685360095,960141400,58,557,165,2537339700
88,1685360095,999638300,70,558,165,2537341600
83,1685360095,1094026500,83,559,165,2537343500
82,1685360095,1094199000,97,560,165,2537345300
80,1685360095,1144232400,112,561,165,2537348300
75,1685360095,1206305300,128,562,165,2537350200
74,1685360095,1210844700,145,563,165,2537351900
72,1685360095,1211696500,163,564,165,2537353600
45,1685360095,1550832700,185,565,165,2537355500
44,1685360095,1550959100,206,566,165,2537363600
33,1685360094,1706671100,231,567,165,2537367500
32,1685360094,1706768800,255,568,165,2537370900
31,1685360094,1706897500,280,569,165,2537374700
24,1685360094,1849833900,306,570,165,2537378100
17,1685360094,1982980500,367,571,165,2537380000
9,1685360094,2109373000,428,572,165,2537385400
7,1685360094,2151524900,472,573,165,2537387500
5,1685360094,2184356800,517,574,165,2537394500
2,1685360094,2323280400,607,575,165,2537399200
1,1685360094,2350551200,664,576,165,2537402400
45,1685360095,1551025700,204,577,165,2537550500
44,1685360095,1551152900,226,578,165,2537554500
33,1685360094,1706861400,252,579,165,2537558300
32,1685360094,1706961100,277,580,165,2537561800
31,1685360094,1707086500,303,581,165,2537565900
24,1685360094,1850025400,330,582,165,2537588600
17,1685360094,1983193200,392,583,165,2537592900
9,1685360094,2109584800,454,584,165,2537595600
7,1685360094,2151734700,499,585,165,2537597500
5,1685360094,2184563700,545,586,165,2537599600
2,1685360094,2323482900,636,587,165,2537601200
1,1685360094,2350753200,694,588,165,2537603000
161,1685360096,17966500,14,589,166,2537759000
160,1685360096,30683700,20,590,166,2537763700
159,1685360096,30951000,27,591,166,2537767700
157,1685360096,71380300,35,592,166,2537771600
156,1685360096,94696700,44,593,166,2537776500
94,1685360095,954475500,57,594,166,2537779900
93,1685360095,960583500,69,595,166,2537783100
88,1685360095,1000082100,82,596,166,2537785300
83,1685360095,1094471700,96,597,166,2537788600
82,1685360095,1094645300,111,598,166,2537791700
80,1685360095,1144677400,127,599,166,2537793300
75,1685360095,1206750100,144,600,166,2537795000
74,1685360095,1211289500,162,601,166,2537796700
72,1685360095,1212141200,181,602,166,2537798300
45,1685360095,1551277400,207,603,166,2537801200
44,1685360095,1551401300,230,604,166,2537803200
33,1685360094,1707108400,257,605,166,2537804900
32,1685360094,1707206300,283,606,166,2537808300
31,1685360094,1707332900,310,607,166,2537810400
